listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
23060844,99,1,4,strict_14_with_grace_period,8,House,90029,4.5,13,Los Angeles,Entire home
23061235,250,1.5,1,flexible,1,Condominium,33129,4,3,Miami,Entire home
23061420,70,1,1,flexible,1,Apartment,02131,5,3,Boston,Entire home
23061745,180,2,1,flexible,1,Apartment,33132,5,12,Miami,Entire home
23061759,75,1,0,strict,2,Apartment,90004,5,7,Los Angeles,Entire home
23061801,200,2,2,moderate,1,House,90077,4.5,3,Los Angeles,Entire home
23061943,75,1,0,flexible,1,Apartment,90038,4,7,Los Angeles,Entire home
23062072,200,1,1,strict_14_with_grace_period,2,Apartment,90049,5,5,Los Angeles,Entire home
23062189,325,2,2,strict_14_with_grace_period,4,Apartment,90049,5,7,Los Angeles,Entire home
23062313,100,1,1,strict_14_with_grace_period,1,Apartment,90028,5,4,Los Angeles,Entire home
23062339,145,1,0,strict_14_with_grace_period,1,Resort,78701,5,3,Austin,Private room
23062358,55,1.5,1,moderate,1,Apartment,90034,5,6,Los Angeles,Shared room
23062502,150,1,1,moderate,2,Apartment,33127,5,18,Miami,Entire home
23062668,125,1.5,2,flexible,2,Townhouse,78704,5,19,Austin,Entire home
23062885,40,1,1,moderate,1,House,90042,5,12,Los Angeles,Private room
23062946,50,1,1,moderate,1,House,33174,5,3,Miami,Private room
23063171,159,1,3,flexible,1,House,91406,4.5,3,Los Angeles,Entire home
23063198,105,1,1,moderate,2,Apartment,90028,4.5,9,Los Angeles,Entire home
23063389,180,1,2,moderate,4,Apartment,33127,5,20,Miami,Entire home
23063421,60,1,0,flexible,1,Apartment,90057,2.5,3,Los Angeles,Entire home
23063526,60,1,0,flexible,1,Apartment,90057,4.5,6,Los Angeles,Entire home
23063581,60,1,0,flexible,1,Apartment,90057,1.5,3,Los Angeles,Entire home
23064117,40,1,1,moderate,2,Apartment,02128,5,7,Boston,Private room
23064341,275,2,2,strict_14_with_grace_period,6,Condominium,78705,4.5,6,Austin,Entire home
23065301,109,1,1,strict_14_with_grace_period,4,Apartment,33133,5,14,Miami,Entire home
23065442,70,1,1,flexible,1,Apartment,90020,4.5,3,Los Angeles,Entire home
23066577,190,2.5,3,flexible,1,Apartment,90020,5,11,Los Angeles,Entire home
23066896,109,1,1,strict_14_with_grace_period,1,Apartment,78704,4.5,15,Austin,Entire home
23070434,45,1,1,flexible,1,House,33186,4.5,11,Miami,Private room
23070890,234,1,3,strict_14_with_grace_period,6,Apartment,02118,4,10,Boston,Entire home
23071342,199,1,1,moderate,2,House,90038,4,5,Los Angeles,Entire home
23072312,51,1,1,flexible,1,House,78702,5,14,Austin,Private room
23074011,112,1,1,moderate,2,Apartment,78703,5,29,Austin,Entire home
23074195,180,1.5,3,moderate,1,Townhouse,90068,3,4,Los Angeles,Entire home
23074344,140,1,2,strict_14_with_grace_period,3,Apartment,90013,4.5,13,Los Angeles,Entire home
23074644,175,1,0,super_strict_30,1,Apartment,02116,5,4,Boston,Entire home
23074657,100,1,1,moderate,2,Apartment,90068,5,20,Los Angeles,Entire home
23075197,128,1,0,strict_14_with_grace_period,2,Guesthouse,90291,5,9,Los Angeles,Entire home
23075559,250,2,2,moderate,1,Apartment,33132,5,8,Miami,Entire home
23076105,236,2,2,flexible,1,Other,33131,4,3,Miami,Entire home
23076200,169,1,1,strict_14_with_grace_period,1,Apartment,78704,4.5,3,Austin,Entire home
23076782,45,1,1,strict_14_with_grace_period,3,House,33125,5,18,Miami,Private room
23076817,199,2,5,strict_14_with_grace_period,14,House,33127,4.5,3,Miami,Entire home
23077077,38,2,1,strict_14_with_grace_period,1,House,90006,3,3,Los Angeles,Private room
23077275,195,1,1,moderate,2,Guest suite,90291,5,9,Los Angeles,Entire home
23077606,99,2,2,flexible,1,House,78745,5,36,Austin,Entire home
23078672,179,1,1,strict_14_with_grace_period,1,Apartment,90015,5,3,Los Angeles,Entire home
23078859,39,2,1,flexible,1,House,90038,5,5,Los Angeles,Private room
23078919,43,1,1,flexible,1,Apartment,33125,5,8,Miami,Shared room
23079589,42,1,1,moderate,2,Camper/RV,78736,5,12,Austin,Entire home
23080229,100,1,1,flexible,1,Apartment,NULL,5,7,Austin,Entire home
23080479,159,2,2,strict_14_with_grace_period,1,Apartment,90036,4.5,18,Los Angeles,Entire home
